"id","category","label","text"
1,"cryptography","Cryptography and security","This paper investigates homomorphic encryption. Building on formal protocol verification, we quantify the security parameter and find that the method reduces communication overhead substantially. Our findings inform secure messaging. We further discuss proof size and its connection to blockchain consensus protocols."
2,"condensed_matter","Condensed matter and quantum materials","We revisit two-dimensional materials through the lens of quantum Monte Carlo. Studying the phase diagram, we show that the approach hosts robust topologically protected edge states, which is relevant for low-power electronics. We further discuss the electronic band structure and its connection to magnetic skyrmions."
3,"epidemiology","Epidemiology and public health","This paper investigates vaccine effectiveness. Building on propensity-score matching, we quantify healthcare utilization and find that the method supports the cost-effectiveness of early screening. Our findings inform equity-focused screening."
4,"number_theory","Number theory and combinatorics","We revisit Diophantine equations through the lens of the circle method. Studying class numbers, we show that the approach improves the best known bound, which is relevant for computational number theory."
5,"genomics","Genomics and molecular biology","We study RNA splicing patterns using differential expression analysis. We measure pathway enrichment and show that our approach identifies previously uncharacterized cell states. These results have implications for rare-disease diagnosis. We further discuss mutational burden and its connection to epigenetic modifications."
6,"epidemiology","Epidemiology and public health","We present a framework for studying vaccine effectiveness based on survival analysis. Focusing on case-fatality ratios, we demonstrate that it reveals persistent socioeconomic disparities, with applications to outbreak response. We further discuss years of life lost and its connection to vaccine effectiveness."
7,"cryptography","Cryptography and security","We study blockchain consensus protocols using the random-oracle model. We measure the soundness error and show that our approach reduces communication overhead substantially. These results have implications for digital identity. We further discuss key-exchange latency and its connection to authenticated encryption."
8,"number_theory","Number theory and combinatorics","Motivated by open questions in random matrix analogies, we apply algebraic geometry techniques to characterize prime gaps. The results show that our method proves a conjecture in a wide range of cases, advancing coding theory."
9,"cryptography","Cryptography and security","We study post-quantum key exchange using formal protocol verification. We measure the attack surface and show that our approach closes a previously overlooked side channel. These results have implications for privacy-preserving analytics."
10,"cosmology","Cosmology and astrophysics","We revisit gravitational lensing through the lens of spectroscopic surveys. Studying the Hubble constant, we show that the approach tightens constraints on cosmological parameters, which is relevant for next-generation redshift surveys. We further discuss the Hubble constant and its connection to the expansion history."
11,"genomics","Genomics and molecular biology","Motivated by open questions in CRISPR perturbation screens, we apply mass spectrometry to characterize clonal architecture. The results show that our method implicates specific pathways in progression, advancing immunotherapy design."
12,"cryptography","Cryptography and security","We present a framework for studying zero-knowledge proof systems based on reductions to hard lattice problems. Focusing on the soundness error, we demonstrate that it achieves provable security under standard assumptions, with applications to digital identity. We further discuss the attack surface and its connection to secure multiparty computation."
13,"climate","Climate and atmospheric science","We revisit ocean heat uptake through the lens of downscaling techniques. Studying sea-level rise, we show that the approach attributes recent extremes to anthropogenic forcing, which is relevant for seasonal forecasting. We further discuss extreme-event frequency and its connection to the global carbon cycle."
14,"genomics","Genomics and molecular biology","Motivated by open questions in protein-coding variants, we apply lineage tracing to characterize cell-type identity. The results show that our method resolves heterogeneity within tumour samples, advancing immunotherapy design. We further discuss allele-specific expression and its connection to epigenetic modifications."
15,"climate","Climate and atmospheric science","We study the monsoon system using coupled climate model ensembles. We measure radiative forcing and show that our approach reduces uncertainty in projected sea-level rise. These results have implications for seasonal forecasting."
16,"condensed_matter","Condensed matter and quantum materials","We revisit topological insulators through the lens of quantum Monte Carlo. Studying the phase diagram, we show that the approach exhibits emergent fractionalized excitations, which is relevant for energy-efficient materials. We further discuss the phase diagram and its connection to quantum spin liquids."
